"Checkout Method","Identification"
"Login","Se connecter"
"Checkout Progress","Progression"
"Ship to this address","Livrer à cette adresse"
"Ship to different address","Livrer à une autre adresse"
"Order Review","Récapitulatif"
"Our Offers","Nous recommandons"
"Register and save time!","S'enregistrer pour gagner du temps !"
"Register with us for future convenience:","Créer un compte pour plus de facilité"
"Register","Créer un compte"
"Click <a href="%s" onclick="this.target=\'_blank\'">here to print</a> a copy of your order confirmation.","Cliquez <a href="%s" onclick="this.target=\'_blank\'">ici pour imprimer</a> votre confirmation de commande."
"Fast and easy check out","Processus de paiement simplifié et sécurisé."
"Easy access to your order history and status","Suivi de vos achats et de vos livraisons."
"Do you have any gift items in your order?","Souhaitez-vous ajouter une carte cadeau personnalisée dans le coffret offert (gratuit) ?"
"Add gift options.","Ajouter un message personnel pour le bénéficiaire."
"(online secured payment system for credit cards)","(plateforme de paiement par carte bancaire 100% sécurisée)"
"Forgot an Item?","Vous souhaitez ajouter des coffrets à votre commande ?"
